Code;Municipality Name;Total;Bosniak;%;Croat;%;Serb;%;Other;%
10014;Banovići;22.773;21.374;93,90%;284;1,20%;237;1,00%;878;3,90%
10049;Bihać;56.261;49.550;88,10%;3.265;5,80%;910;1,60%;2.536;4,50%
10146;Bosansko Grahovo;2.449;6;0,20%;393;16,00%;2.028;82,80%;22;0,90%
10189;Breza;14.168;13.154;92,80%;314;2,20%;121;0,90%;579;4,10%
10197;Bugojno;31.470;24.650;78,30%;5.767;18,30%;376;1,20%;677;2,20%
10219;Busovača;17.910;8.681;48,50%;8.873;49,50%;205;1,10%;151;0,80%
10227;Cazin;66.149;63.463;95,90%;320;0,50%;29;0,00%;2.337;3,50%
10243;Čapljina;26.157;4.541;17,40%;20.538;78,50%;714;2,70%;364;1,40%
10260;Čitluk;18.140;29;0,20%;17.900;98,70%;18;0,10%;193;1,10%
10294;Donji Vakuf;13.985;13.376;95,60%;58;0,40%;107;0,80%;444;3,20%
10308;Tomislavgrad;31.592;2.467;7,80%;29.006;91,80%;22;0,10%;97;0,30%
10324;Fojnica;12.356;7.592;61,40%;3.664;29,70%;48;0,40%;1.052;8,50%
10359;Glamoč;3.860;1.251;32,40%;906;23,50%;1.679;43,50%;24;0,60%
10375;Gornji Vakuf-Uskoplje;20.933;12.004;57,30%;8.660;41,40%;30;0,10%;239;1,10%
10391;Gradačac;39.340;37.130;94,40%;918;2,30%;345;0,90%;947;2,40%
10405;Grude;17.308;3;0,00%;17.216;99,50%;10;0,10%;79;0,50%
10421;Jablanica;10.111;9.045;89,50%;726;7,20%;63;0,60%;277;2,70%
10448;Kakanj;37.441;32.341;86,40%;2.973;7,90%;281;0,80%;1.846;4,90%
10472;Kiseljak;20.722;7.838;37,80%;11.823;57,10%;409;2,00%;652;3,10%
10499;Kladanj;12.348;11.997;97,20%;33;0,30%;107;0,90%;211;1,70%
10529;Konjic;25.148;22.486;89,40%;1.553;6,20%;355;1,40%;754;3,00%
10545;Kreševo;5.273;1.014;19,20%;4.149;78,70%;26;0,50%;84;1,60%
10570;Široki Brijeg;28.929;6;0,00%;28.814;99,60%;45;0,20%;64;0,20%
10588;Livno;34.133;4.047;11,90%;29.273;85,80%;438;1,30%;375;1,10%
10600;Lukavac;44.520;38.561;86,60%;1.524;3,40%;1.499;3,40%;2.936;6,60%
10626;Ljubuški;28.184;707;2,50%;27.271;96,80%;41;0,10%;165;0,60%
10634;Maglaj;23.146;19.810;85,60%;2.041;8,80%;810;3,50%;485;2,10%
10685;Neum;4.653;63;1,40%;4.543;97,60%;21;0,50%;26;0,60%
10715;Olovo;10.175;9.701;95,30%;230;2,30%;77;0,80%;167;1,60%
10731;Posušje;20.477;2;0,00%;20.424;99,70%;5;0,00%;46;0,20%
10766;Prozor;14.280;3.525;24,70%;10.702;74,90%;3;0,00%;50;0,40%
10774;Novi Travnik;23.832;12.067;50,60%;11.002;46,20%;367;1,50%;396;1,70%
10839;Centar Sarajevo;55.181;41.702;75,60%;3.333;6,00%;2.186;4,00%;7.960;14,40%
10847;Hadžići;23.891;22.120;92,60%;179;0,70%;218;0,90%;1.374;5,80%
10863;Ilijaš;19.603;18.151;92,60%;382;1,90%;421;2,10%;649;3,30%
10871;Novi Grad Sarajevo;118.553;99.773;84,20%;4.947;4,20%;4.367;3,70%;9.466;8,00%
10928;Vogošća;26.343;24.351;92,40%;321;1,20%;542;2,10%;1.129;4,30%
10987;Srebrenik;39.678;35.951;90,60%;1.968;5,00%;394;1,00%;1.365;3,40%
11045;Tešanj;43.063;40.461;94,00%;1.462;3,40%;226;0,50%;914;2,10%
11061;Travnik;53.482;35.648;66,70%;15.102;28,20%;640;1,20%;2.092;3,90%
