Code;Municipality name;2007;2008;2009;2010
10014;Banovići;25700 ;25732 ;25749 ;25786 
20010;Banja Luka;222400 ;223641 ;225123 ;226459 
20028;Berkovići;2774 ;2740 ;2740 ;2732 
10049;Bihać;61035 ;61191 ;61287 ;61358 
20036;Bijeljina;107176 ;107665 ;108305 ;108814 
20044;Bileća;12008 ;11946 ;11877 ;11788 
11428;Bosanska Krupa;28241 ;28227 ;28137 ;28062 
11436;Bosanski Petrovac;7907 ;7730 ;7601 ;7412 
10146;Bosansko Grahovo;2111 ;2085 ;2102 ;2089 
20052;Bratunac;22541 ;22400 ;22343 ;22235 
30163;Brčko;75628 ;75643 ;75664 ;75674 
10189;Breza;14763 ;14676 ;14594 ;14483 
20079;Brod;20083 ;20011 ;19957 ;19885 
10197;Bugojno;37481 ;37359 ;37255 ;37209 
10219;Busovača;16114 ;16095 ;16073 ;16068 
11240;Bužim;17777 ;17838 ;17865 ;17911 
10227;Cazin;62012 ;62252 ;62468 ;62510 
10839;Centar Sarajevo;70143 ;70203 ;70099 ;69889 
20630;Čajniče;5154 ;5115 ;5079 ;5012 
10243;Čapljina;23590 ;23433 ;23251 ;23050 
11231;Čelić;14105 ;14081 ;14033 ;13945 
20648;Čelinac;17331 ;17245 ;17174 ;17126 
10260;Čitluk;15945 ;15932 ;15852 ;15761 
20133;Derventa;42117 ;42004 ;41873 ;41709 
20141;Doboj;78590 ;78388 ;78101 ;77967 
11258;Doboj-Istok;10167 ;10197 ;10221 ;10243 
11266;Doboj-Jug;4440 ;4476 ;4523 ;4529 
11274;Dobretići;652 ;651 ;658 ;655 
11282;Domaljevac-Šamac;4472 ;4406 ;4297 ;4252 
10294;Donji Vakuf;14195 ;14154 ;14070 ;13992 
20150;Donji Žabar;2702 ;2672 ;2646 ;2663 
11614;Drvar;11609 ;11462 ;11286 ;11196 
11444;Foča (FBIH);1831 ;1782 ;1760 ;1740 
20613;Foča (RS);24810 ;24711 ;24584 ;24441 
10324;Fojnica;12359 ;12222 ;12124 ;12016 
20117;Gacko;10215 ;10174 ;10129 ;10106 
10359;Glamoč;4876 ;4776 ;4710 ;4660 
11452;Goražde;30743 ;30383 ;30264 ;30123 
10375;Gornji Vakuf-Uskoplje;19500 ;19376 ;19248 ;19112 
11479;Gračanica;51705 ;51938 ;52113 ;52212 
11410;Grad Mostar;111198 ;111116 ;111186 ;111364 
10391;Gradačac;46142 ;46217 ;46244 ;46154 
20125;Gradiška;59909 ;59719 ;59571 ;59334 
10405;Grude;15672 ;15558 ;15525 ;15465 
10847;Hadžići;22140 ;22379 ;22636 ;22727 
20621;Han Pijesak;4714 ;4683 ;4643 ;4636 
11550;Ilidža;52374 ;52896 ;53600 ;59271 
10863;Ilijaš;17572 ;17738 ;18048 ;18436 
20176;Istočna Ilidža;16351 ;16451 ;16491 ;16578 
20184;Istočni Drvar;45 ;110 ;46 ;38 
20192;Istočni Mostar;763 ;774 ;773 ;779 
20206;Istočni Stari Grad;3040 ;3003 ;2966 ;2948 
20214;Istočno Novo Sarajevo;8877 ;9138 ;9467 ;9796 
10421;Jablanica;11886 ;11825 ;11810 ;11784 
11487;Jajce;24455 ;24394 ;24319 ;24328 
20222;Jezero;1278 ;1287 ;1259 ;1242 
10448;Kakanj;43406 ;43305 ;43306 ;43300 
11495;Kalesija;35165 ;35437 ;35619 ;35751 
20249;Kalinovik;4640 ;4618 ;4572 ;4529 
10472;Kiseljak;20799 ;20734 ;20710 ;20727 
10499;Kladanj;15243 ;15162 ;15086 ;14981 
11509;Ključ;19923 ;19771 ;19687 ;19535 
20257;Kneževo;12153 ;11917 ;11777 ;11595 
10529;Konjic;29095 ;28780 ;28535 ;28266 
20273;Kostajnica;7525 ;7486 ;7438 ;7412 
20281;Kotor Varoš;20059 ;19972 ;19916 ;19912 
20265;Kozarska Dubica;33500 ;33251 ;32973 ;32711 
10545;Kreševo;5717 ;5666 ;5624 ;5594 
20290;Krupa na Uni;1772 ;1746 ;1711 ;1685 
11517;Kupres (FBIH);3506 ;3472 ;3437 ;3383 
20303;Kupres (RS);440 ;449 ;425 ;425 
20311;Laktaši;39937 ;40266 ;40527 ;40813 
10588;Livno;32354 ;32161 ;32013 ;31878 
20320;Lopare;16198 ;16010 ;15806 ;15585 
10600;Lukavac;51153 ;51098 ;51078 ;50998 
20338;Ljubinje;4136 ;4134 ;4090 ;4082 
10626;Ljubuški;24051 ;23951 ;23870 ;23689 
10634;Maglaj;23587 ;23469 ;23403 ;23381 
20346;Milići;10015 ;9991 ;9933 ;9868 
20354;Modriča;27958 ;27793 ;27667 ;27524 
20362;Mrkonjić Grad;19549 ;19376 ;19221 ;19048 
10685;Neum;4682 ;4638 ;4605 ;4542 
20389;Nevesinje;18642 ;18637 ;18594 ;18496 
20397;Novi Grad;30015 ;29787 ;29501 ;29268 
10871;Novi Grad Sarajevo;122737 ;123200 ;124035 ;124742 
10774;Novi Travnik;24840 ;24834 ;24859 ;24884 
20419;Novo Goražde;2984 ;3095 ;3012 ;2972 
11568;Novo Sarajevo;73268 ;73379 ;73371 ;73394 
11525;Odžak;16035 ;15925 ;15803 ;15674 
10715;Olovo;12804 ;12579 ;12406 ;12213 
11533;Orašje;20680 ;20182 ;19786 ;19594 
20427;Osmaci;4699 ;4692 ;4657 ;4602 
20435;Oštra Luka;3176 ;3207 ;3190 ;3187 
11576;Pale (FBIH);1088 ;1060 ;1069 ;1068 
20443;Pale (RS);26348 ;26184 ;26211 ;26208 
20451;Pelagićevo;6055 ;6000 ;5969 ;5964 
20460;Petrovac;182 ;259 ;331 ;406 
20478;Petrovo;11522 ;11398 ;11294 ;11227 
10731;Posušje;16174 ;16072 ;16049 ;16012 
20486;Prijedor;95348 ;95161 ;94824 ;94460 
20494;Prnjavor;48817 ;48531 ;48320 ;48145 
10766;Prozor;16371 ;16229 ;16064 ;15984 
11304;Ravno;1346 ;1371 ;1400 ;1433 
20508;Ribnik;8603 ;8453 ;8359 ;8261 
20516;Rogatica;14438 ;14437 ;14347 ;14338 
20524;Rudo;9318 ;9242 ;9144 ;9070 
11541;Sanski Most;44859 ;44699 ;44508 ;44322 
11312;Sapna;12971 ;12984 ;12935 ;12862 
20532;Sokolac;17024 ;17061 ;16943 ;16837 
20559;Srbac;24071 ;23697 ;23588 ;23435 
20567;Srebrenica;21425 ;21523 ;21371 ;21258 
10987;Srebrenik;41195 ;41325 ;41508 ;41692 
11584;Stari Grad Sarajevo;37917 ;37832 ;37737 ;42580 
11606;Stolac;13360 ;13308 ;13227 ;13084 
20656;Šamac;22197 ;21987 ;21749 ;21576 
20664;Šekovići;9881 ;9847 ;9743 ;9690 
20672;Šipovo;10303 ;10223 ;10138 ;10070 
10570;Široki Brijeg;26198 ;26252 ;26263 ;26267 
11339;Teočak;7413 ;7444 ;7397 ;7400 
20575;Teslić;48465 ;48297 ;48174 ;48133 
11045;Tešanj;47752 ;47976 ;48159 ;48266 
10308;Tomislavgrad;27613 ;27440 ;27252 ;27116 
11061;Travnik;55217 ;55093 ;55000 ;54878 
20583;Trebinje;30729 ;30825 ;30832 ;30789 
11592;Trnovo (FBIH);2182 ;2554 ;2524 ;2495 
20591;Trnovo (RS);2476 ;2407 ;2397 ;2362 
11088;Tuzla;131444 ;131464 ;131640 ;131718 
20605;Ugljevik;16475 ;16335 ;16225 ;16121 
11622;Usora;7045 ;6988 ;6968 ;6938 
11100;Vareš;11185 ;10948 ;10743 ;10554 
11118;Velika Kladuša;46124 ;46290 ;46561 ;46759 
11126;Visoko;40151 ;40212 ;40301 ;40320 
20087;Višegrad;18787 ;18601 ;18492 ;18339 
11142;Vitez;25010 ;25070 ;25052 ;25109 
20095;Vlasenica;20075 ;19487 ;19363 ;19248 
10928;Vogošća;20697 ;21108 ;21595 ;23038 
20109;Vukosavlje;5286 ;5289 ;5290 ;5270 
11177;Zavidovići;38237 ;38017 ;38027 ;37983 
11185;Zenica;127334 ;127113 ;127105 ;127103 
20168;Zvornik;51572 ;51929 ;51918 ;51829 
11207;Žepče;31092 ;31089 ;31067 ;31056 
11215;Živinice;54427 ;54734 ;54926 ;55305 
