Country Name,Country Code,Series Name,Series Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,4448652,4159771,3518541,3473003,3428682,3387000,3345533,3299349,3244907,3204802,3185073,..
Bosnia and Herzegovina,BIH,Population growth (annual %),SP.POP.GROW,0.330285176304849,0.710877055593974,-1.30696713269434,-1.30267774814121,-1.28437067954589,-1.22313569369776,-1.23185506471358,-1.39008469041609,-1.66384860150923,-1.24363802761194,-0.617510129445164,..
Bosnia and Herzegovina,BIH,Surface area (sq. km),AG.SRF.TOTL.K2,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,..,..
Bosnia and Herzegovina,BIH,Population density (people per sq. km of land area),EN.POP.DNST,..,81.24552734375,68.72150390625,67.83208984375,66.9664453125,66.15234375,65.34244140625,64.44041015625,63.37708984375,62.5937890625,..,..
Bosnia and Herzegovina,BIH,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,16.9,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,..,5525188055.324,18086544442.6312,17600401100.0363,17385647666.2767,19385968203.0569,20687550970.1911,20316003116.5814,22606222235.567,24693503903.0648,26361981841.587,..
Bosnia and Herzegovina,BIH,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,1330,5140,5070,5070,5720,6180,6160,6970,7710,8280,..
Bosnia and Herzegovina,BIH,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,3985771325.37775,18889190376.2871,41970963700.9528,44859774207.8078,46336348884.7154,50036994343.9528,54870204665.184,53707977620.7013,58584646048.0637,66789615391.2897,71088361102.3656,..
Bosnia and Herzegovina,BIH,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,900,4540,11930,12920,13510,14770,16400,16280,18050,20840,22320,..
Bosnia and Herzegovina,BIH,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.509,75.292,77.073,77.124,77.385,77.942,77.394,76.04,74.567,76.777,77.85,..
Bosnia and Herzegovina,BIH,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.786,1.282,1.322,1.36,1.419,1.504,1.509,1.515,1.49,1.481,1.486,..
Bosnia and Herzegovina,BIH,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,38.109,17.815,10.818,11.3,11.613,11.814,11.354,11.311,11.192,11.089,11.217,..
