code,municipality,entity,year,value
10014,Banovići,FBiH,year_2007,138.92
20010,Banja Luka,RS,year_2007,179.51
20028,Berkovići,RS,year_2007,11.11
10049,Bihać,FBiH,year_2007,67.82
20036,Bijeljina,RS,year_2007,146.05
20044,Bileća,RS,year_2007,18.99
11428,Bosanska Krupa,FBiH,year_2007,50.34
11436,Bosanski Petrovac,FBiH,year_2007,11.15
10146,Bosansko Grahovo,FBiH,year_2007,2.71
20052,Bratunac,RS,year_2007,76.8
30163,Brčko,RS,year_2007,188.13
10189,Breza,FBiH,year_2007,202.51
20079,Brod,RS,year_2007,87.58
10197,Bugojno,FBiH,year_2007,103.83
10219,Busovača,FBiH,year_2007,101.99
11240,Bužim,FBiH,year_2007,137.81
10227,Cazin,FBiH,year_2007,174.19
10839,Centar Sarajevo,FBiH,year_2007,2125.55
20630,Čajniče,RS,year_2007,18.77
10243,Čapljina,FBiH,year_2007,92.15
11231,Čelić,FBiH,year_2007,100.75
20648,Čelinac,RS,year_2007,47.9
10260,Čitluk,FBiH,year_2007,88.09
20133,Derventa,RS,year_2007,81.49
20141,Doboj,RS,year_2007,101.79
11258,Doboj-Istok,FBiH,year_2007,247.98
11266,Doboj-Jug,FBiH,year_2007,435.29
11274,Dobretići,FBiH,year_2007,11.05
11282,Domaljevac-Šamac,FBiH,year_2007,100.72
10294,Donji Vakuf,FBiH,year_2007,44.36
20150,Donji Žabar,RS,year_2007,57.78
11614,Drvar,FBiH,year_2007,19.7
11444,Foča (FBIH),FBiH,year_2007,10.81
20613,Foča (RS),RS,year_2007,21.87
10324,Fojnica,FBiH,year_2007,40.39
20117,Gacko,RS,year_2007,13.88
10359,Glamoč,FBiH,year_2007,4.72
11452,Goražde,FBiH,year_2007,123.57
10375,Gornji Vakuf-Uskoplje,FBiH,year_2007,48.51
11479,Gračanica,FBiH,year_2007,239.38
11410,Grad Mostar,FBiH,year_2007,94.64
10391,Gradačac,FBiH,year_2007,211.66
20125,Gradiška,RS,year_2007,78.65
10405,Grude,FBiH,year_2007,70.98
10847,Hadžići,FBiH,year_2007,81.01
20621,Han Pijesak,RS,year_2007,14.6
11550,Ilidža,FBiH,year_2007,365.23
10863,Ilijaš,FBiH,year_2007,56.94
20176,Istočna Ilidža,RS,year_2007,586.06
20184,Istočni Drvar,RS,year_2007,0.6
20192,Istočni Mostar,RS,year_2007,8.95
20206,Istočni Stari Grad,RS,year_2007,43.53
20214,Istočno Novo Sarajevo,RS,year_2007,255.9
10421,Jablanica,FBiH,year_2007,39.49
11487,Jajce,FBiH,year_2007,72.14
20222,Jezero,RS,year_2007,22.99
10448,Kakanj,FBiH,year_2007,115.14
11495,Kalesija,FBiH,year_2007,174.95
20249,Kalinovik,RS,year_2007,6.81
10472,Kiseljak,FBiH,year_2007,126.05
10499,Kladanj,FBiH,year_2007,46.05
11509,Ključ,FBiH,year_2007,55.65
20257,Kneževo,RS,year_2007,36.51
10529,Konjic,FBiH,year_2007,24.89
20273,Kostajnica,RS,year_2007,88.4
20281,Kotor Varoš,RS,year_2007,35.55
