Code;MunicipalityName;Year;GDP
10014;Banovići;2007;6750,47
20010;Banja Luka;2007;8522,61
20028;Berkovići;2007;2335,12
10049;Bihać;2007;6587,6
20036;Bijeljina;2007;5752,96
20044;Bileća;2007;4863,94
11428;Bosanska Krupa;2007;3157,27
11436;Bosanski Petrovac;2007;3955,9
10146;Bosansko Grahovo;2007;4920,12
20052;Bratunac;2007;1928,64
30163;Brčko;2007;7435,66
10189;Breza;2007;4917,5
20079;Brod;2007;4183,37
10197;Bugojno;2007;2718,04
10219;Busovača;2007;2653,69
11240;Bužim;2007;2120,95
10227;Cazin;2007;2357,52
10839;Centar Sarajevo;2007;25342,62
20630;Čajniče;2007;4020,17
10243;Čapljina;2007;4379,78
11231;Čelić;2007;1987,99
20648;Čelinac;2007;3443,22
10260;Čitluk;2007;6107,79
20133;Derventa;2007;3412,41
20141;Doboj;2007;5444,22
11258;Doboj-Istok;2007;3476,87
11266;Doboj-Jug;2007;4742,22
11274;Dobretići;2007;1017,46
11282;Domaljevac-Šamac;2007;2600,27
10294;Donji Vakuf;2007;3306,83
20150;Donji Žabar;2007;2623,32
11614;Drvar;2007;2423,15
11444;Foča (FBIH);2007;2976
20613;Foča (RS);2007;3783,06
10324;Fojnica;2007;4544,85
20117;Gacko;2007;11413,21
10359;Glamoč;2007;3299,61
11452;Goražde;2007;4193,1
10375;Gornji Vakuf-Uskoplje;2007;2922,63
11479;Gračanica;2007;3666,55
11410;Grad Mostar;2007;8777,01
10391;Gradačac;2007;3437,72
20125;Gradiška;2007;4619,59
10405;Grude;2007;4026,96
10847;Hadžići;2007;4789,79
20621;Han Pijesak;2007;5584,76
11550;Ilidža;2007;8587,22
10863;Ilijaš;2007;3091,86
20176;Istočna Ilidža;2007;4651,27
20184;Istočni Drvar;2007;50411,85
20192;Istočni Mostar;2007;0
20206;Istočni Stari Grad;2007;2255,27
20214;Istočno Novo Sarajevo;2007;12831,12
10421;Jablanica;2007;5745,91
11487;Jajce;2007;3353,67
20222;Jezero;2007;1077,38
10448;Kakanj;2007;5723,2
11495;Kalesija;2007;2159,25
20249;Kalinovik;2007;2576,68
10472;Kiseljak;2007;3877,37
10499;Kladanj;2007;4491,49
11509;Ključ;2007;2443,59
20257;Kneževo;2007;3039,35
10529;Konjic;2007;3916,32
20273;Kostajnica;2007;3343,97
20281;Kotor Varoš;2007;4929,01
20265;Kozarska Dubica;2007;3033,55
10545;Kreševo;2007;5325
20290;Krupa na Uni;2007;1420,95
11517;Kupres (FBIH);2007;6351,44
20303;Kupres (RS);2007;1307,41
20311;Laktaši;2007;6873,4
10588;Livno;2007;3802,3
20320;Lopare;2007;1889,04
10600;Lukavac;2007;4798,62
20338;Ljubinje;2007;4236,44
10626;Ljubuški;2007;4757,56
10634;Maglaj;2007;3471,36
20346;Milići;2007;4935,46
20354;Modriča;2007;3919,98
20362;Mrkonjić Grad;2007;5144,16
10685;Neum;2007;5146,57
20389;Nevesinje;2007;2452
20397;Novi Grad;2007;3855,74
10871;Novi Grad Sarajevo;2007;5366,46
10774;Novi Travnik;2007;2684,02
20419;Novo Goražde;2007;3238,52
11568;Novo Sarajevo;2007;13225,65
11525;Odžak;2007;2910,27
10715;Olovo;2007;3330,54
11533;Orašje;2007;4591,47
20427;Osmaci;2007;1691
20435;Oštra Luka;2007;3563,1
11576;Pale (FBIH);2007;2383,42
20443;Pale (RS);2007;6327,82
20451;Pelagićevo;2007;1762,75
20460;Petrovac;2007;66175,05
20478;Petrovo;2007;1660,47
10731;Posušje;2007;4076,91
20486;Prijedor;2007;4675,74
20494;Prnjavor;2007;3446,12
10766;Prozor;2007;2820,48
11304;Ravno;2007;1323,87
20508;Ribnik;2007;3021,52
20516;Rogatica;2007;3588,96
20524;Rudo;2007;1869,32
