code,municipality,entity,year,metric,measurement
10014,Banovići,FBiH,2007.0,value,138.92
10014,Banovići,FBiH,2008.0,value,139.09
10014,Banovići,FBiH,2009.0,value,139.18
10014,Banovići,FBiH,2010.0,value,139.38
10014,Banovići,FBiH,2013.0,area_km2_2013,185.0
10014,Banovići,FBiH,2013.0,area_km2_2013,185.0
10014,Banovići,FBiH,2013.0,area_km2_2013,185.0
10014,Banovići,FBiH,2013.0,area_km2_2013,185.0
10014,Banovići,FBiH,2013.0,population_2013,22773.0
10014,Banovići,FBiH,2013.0,population_2013,22773.0
10014,Banovići,FBiH,2013.0,population_2013,22773.0
10014,Banovići,FBiH,2013.0,population_2013,22773.0
10014,Banovići,FBiH,2013.0,population_density_2013,123.1
10014,Banovići,FBiH,2013.0,population_density_2013,123.1
10014,Banovići,FBiH,2013.0,population_density_2013,123.1
10014,Banovići,FBiH,2013.0,population_density_2013,123.1
10049,Bihać,,2013.0,area_km2_2013,900.0
10049,Bihać,,2013.0,population_2013,56261.0
10049,Bihać,,2013.0,population_density_2013,62.51
10146,Bosansko Grahovo,,2013.0,area_km2_2013,780.0
10146,Bosansko Grahovo,,2013.0,population_2013,2449.0
10146,Bosansko Grahovo,,2013.0,population_density_2013,3.14
10189,Breza,,2013.0,area_km2_2013,72.9
10189,Breza,,2013.0,population_2013,14168.0
10189,Breza,,2013.0,population_density_2013,194.35
10197,Bugojno,,2013.0,area_km2_2013,361.0
10197,Bugojno,,2013.0,population_2013,31470.0
10197,Bugojno,,2013.0,population_density_2013,87.17
10219,Busovača,,2013.0,area_km2_2013,158.0
10219,Busovača,,2013.0,population_2013,17910.0
10219,Busovača,,2013.0,population_density_2013,113.35
10227,Cazin,,2013.0,area_km2_2013,356.0
10227,Cazin,,2013.0,population_2013,66149.0
10227,Cazin,,2013.0,population_density_2013,185.81
10243,Čapljina,,2013.0,area_km2_2013,256.0
10243,Čapljina,,2013.0,population_2013,26157.0
10243,Čapljina,,2013.0,population_density_2013,102.18
10260,Čitluk,,2013.0,area_km2_2013,181.0
10260,Čitluk,,2013.0,population_2013,18140.0
10260,Čitluk,,2013.0,population_density_2013,100.22
10294,Donji Vakuf,,2013.0,area_km2_2013,320.0
10294,Donji Vakuf,,2013.0,population_2013,13985.0
10294,Donji Vakuf,,2013.0,population_density_2013,43.7
10308,Tomislavgrad,,2013.0,area_km2_2013,967.4
10308,Tomislavgrad,,2013.0,population_2013,31592.0
10308,Tomislavgrad,,2013.0,population_density_2013,32.66
10324,Fojnica,,2013.0,area_km2_2013,306.0
10324,Fojnica,,2013.0,population_2013,12356.0
10324,Fojnica,,2013.0,population_density_2013,40.38
10359,Glamoč,,2013.0,area_km2_2013,1033.6
10359,Glamoč,,2013.0,population_2013,3860.0
10359,Glamoč,,2013.0,population_density_2013,3.73
10375,Gornji Vakuf-Uskoplje,,2013.0,area_km2_2013,402.0
10375,Gornji Vakuf-Uskoplje,,2013.0,population_2013,20933.0
10375,Gornji Vakuf-Uskoplje,,2013.0,population_density_2013,52.07
10391,Gradačac,,2013.0,area_km2_2013,218.0
10391,Gradačac,,2013.0,population_2013,39340.0
10391,Gradačac,,2013.0,population_density_2013,180.46
10405,Grude,,2013.0,area_km2_2013,220.8
10405,Grude,,2013.0,population_2013,17308.0
10405,Grude,,2013.0,population_density_2013,78.39
10421,Jablanica,,2013.0,area_km2_2013,301.0
10421,Jablanica,,2013.0,population_2013,10111.0
10421,Jablanica,,2013.0,population_density_2013,33.59
10448,Kakanj,,2013.0,area_km2_2013,377.0
10448,Kakanj,,2013.0,population_2013,37441.0
10448,Kakanj,,2013.0,population_density_2013,99.31
10472,Kiseljak,,2013.0,area_km2_2013,165.0
10472,Kiseljak,,2013.0,population_2013,20722.0
10472,Kiseljak,,2013.0,population_density_2013,125.59
10499,Kladanj,,2013.0,area_km2_2013,331.0
10499,Kladanj,,2013.0,population_2013,12348.0
10499,Kladanj,,2013.0,population_density_2013,37.31
10529,Konjic,,2013.0,area_km2_2013,1169.0
10529,Konjic,,2013.0,population_2013,25148.0
10529,Konjic,,2013.0,population_density_2013,21.51
10545,Kreševo,,2013.0,area_km2_2013,149.0
10545,Kreševo,,2013.0,population_2013,5273.0
10545,Kreševo,,2013.0,population_density_2013,35.39
10570,Široki Brijeg,,2013.0,area_km2_2013,387.6
10570,Široki Brijeg,,2013.0,population_2013,28929.0
10570,Široki Brijeg,,2013.0,population_density_2013,74.64
10588,Livno,,2013.0,area_km2_2013,994.0
10588,Livno,,2013.0,population_2013,34133.0
10588,Livno,,2013.0,population_density_2013,34.34
10600,Lukavac,,2013.0,area_km2_2013,337.0
10600,Lukavac,,2013.0,population_2013,44520.0
10600,Lukavac,,2013.0,population_density_2013,132.11
10626,Ljubuški,,2013.0,area_km2_2013,292.7
10626,Ljubuški,,2013.0,population_2013,28184.0
10626,Ljubuški,,2013.0,population_density_2013,96.29
10634,Maglaj,,2013.0,area_km2_2013,290.0
10634,Maglaj,,2013.0,population_2013,23146.0
10634,Maglaj,,2013.0,population_density_2013,79.81
10685,Neum,,2013.0,area_km2_2013,225.0
10685,Neum,,2013.0,population_2013,4653.0
10685,Neum,,2013.0,population_density_2013,20.68
10715,Olovo,,2013.0,area_km2_2013,407.8
10715,Olovo,,2013.0,population_2013,10175.0
10715,Olovo,,2013.0,population_density_2013,24.95
10731,Posušje,,2013.0,area_km2_2013,461.1
10731,Posušje,,2013.0,population_2013,20477.0
10731,Posušje,,2013.0,population_density_2013,44.41
10766,Prozor,,2013.0,area_km2_2013,477.0
10766,Prozor,,2013.0,population_2013,14280.0
10766,Prozor,,2013.0,population_density_2013,29.94
10774,Novi Travnik,,2013.0,area_km2_2013,242.0
10774,Novi Travnik,,2013.0,population_2013,23832.0
10774,Novi Travnik,,2013.0,population_density_2013,98.48
10839,Centar Sarajevo,,2013.0,area_km2_2013,33.0
10839,Centar Sarajevo,,2013.0,population_2013,55181.0
10839,Centar Sarajevo,,2013.0,population_density_2013,1672.15
10847,Hadžići,,2013.0,area_km2_2013,273.3
10847,Hadžići,,2013.0,population_2013,23891.0
10847,Hadžići,,2013.0,population_density_2013,87.42
10863,Ilijaš,,2013.0,area_km2_2013,308.6
10863,Ilijaš,,2013.0,population_2013,19603.0
10863,Ilijaš,,2013.0,population_density_2013,63.52
10871,Novi Grad Sarajevo,,2013.0,area_km2_2013,47.2
10871,Novi Grad Sarajevo,,2013.0,population_2013,118553.0
10871,Novi Grad Sarajevo,,2013.0,population_density_2013,2511.72
10928,Vogošća,,2013.0,area_km2_2013,71.7
10928,Vogošća,,2013.0,population_2013,26343.0
10928,Vogošća,,2013.0,population_density_2013,367.41
10987,Srebrenik,,2013.0,area_km2_2013,248.0
10987,Srebrenik,,2013.0,population_2013,39678.0
10987,Srebrenik,,2013.0,population_density_2013,159.99
11045,Tešanj,,2013.0,area_km2_2013,155.9
11045,Tešanj,,2013.0,population_2013,43063.0
11045,Tešanj,,2013.0,population_density_2013,276.22
11061,Travnik,,2013.0,area_km2_2013,529.0
11061,Travnik,,2013.0,population_2013,53482.0
11061,Travnik,,2013.0,population_density_2013,101.1
11088,Tuzla,,2013.0,area_km2_2013,294.0
11088,Tuzla,,2013.0,population_2013,110979.0
11088,Tuzla,,2013.0,population_density_2013,377.48
11100,Vareš,,2013.0,area_km2_2013,390.1
11100,Vareš,,2013.0,population_2013,8892.0
11100,Vareš,,2013.0,population_density_2013,22.79
