#,Municipality,Total,Bosniaks,%_Bosniaks,Croats,%_Croats,Serbs,%_Serbs,Others,%_Others
10014,Banovići,22.773,21.374,"93,9%",284,"1,2%",237,"1,0%",878,"3,9%"
20010,Banja Luka,185.042,7.681,"4,2%",5.104,"2,8%",165.750,"89,6%",6.507,"3,5%"
20028,Berkovići,2.114,159,"7,5%",11,"0,5%",1.942,"91,9%",2,"0,1%"
10049,Bihać,56.261,49.550,"88,1%",3.265,"5,8%",910,"1,6%",2.536,"4,5%"
20036,Bijeljina,107.715,13.090,"12,2%",515,"0,5%",91.784,"85,2%",2.326,"2,2%"
20044,Bileća,10.807,26,"0,2%",21,"0,2%",10.646,"98,5%",114,"1,1%"
11428,Bosanska Krupa,25.545,23.578,"92,3%",66,"0,3%",1.260,"4,9%",641,"2,5%"
11436,Bosanski Petrovac,7.328,3.179,"43,4%",26,"0,4%",3.996,"54,5%",127,"1,7%"
10146,Bosansko Grahovo,2.449,6,"0,2%",393,"16,0%",2.028,"82,8%",22,"0,9%"
20052,Bratunac,20.340,7.803,"38,4%",33,"0,2%",12.350,"60,7%",154,"0,8%"
30163,Brčko,83.516,35.381,"42,4%",17.252,"20,7%",28.884,"34,6%",1.999,"2,4%"
10189,Breza,14.168,13.154,"92,8%",314,"2,2%",121,"0,9%",579,"4,1%"
20079,Brod,16.619,1.509,"9,1%",3.287,"19,8%",11.477,"69,1%",346,"2,1%"
10197,Bugojno,31.470,24.650,"78,3%",5.767,"18,3%",376,"1,2%",677,"2,2%"
10219,Busovača,17.910,8.681,"48,5%",8.873,"49,5%",205,"1,1%",151,"0,8%"
11240,Bužim,19.340,19.207,"99,3%",8,"0,0%",1,"0,0%",124,"0,6%"
10227,Cazin,66.149,63.463,"95,9%",320,"0,5%",29,"0,0%",2.337,"3,5%"
10839,Centar Sarajevo,55.181,41.702,"75,6%",3.333,"6,0%",2.186,"4,0%",7.960,"14,4%"
20630,Čajniče,4.895,884,"18,1%",6,"0,1%",3.972,"81,1%",33,"0,7%"
10243,Čapljina,26.157,4.541,"17,4%",20.538,"78,5%",714,"2,7%",364,"1,4%"
11231,Čelić,10.502,9.341,"88,9%",843,"8,0%",192,"1,8%",126,"1,2%"
20648,Čelinac,15.548,453,"2,9%",49,"0,3%",14.874,"95,7%",172,"1,1%"
10260,Čitluk,18.140,29,"0,2%",17.900,"98,7%",18,"0,1%",193,"1,1%"
20133,Derventa,27.404,1.895,"6,9%",2.573,"9,4%",22.349,"81,6%",587,"2,1%"
20141,Doboj,71.441,15.322,"21,4%",1.845,"2,6%",52.628,"73,7%",1.646,"2,3%"
11258,Doboj-Istok,10.248,9.830,"95,9%",18,"0,2%",12,"0,1%",388,"3,8%"
11266,Doboj-Jug,4.137,4.017,"97,1%",24,"0,6%",9,"0,2%",87,"2,1%"
11274,Dobretići,1.629,0,"0,0%",1.626,"99,8%",1,"0,1%",2,"0,1%"
11282,Domaljevac-Šamac,4.771,17,"0,4%",4.634,"97,1%",92,"1,9%",28,"0,6%"
10294,Donji Vakuf,13.985,13.376,"95,6%",58,"0,4%",107,"0,8%",444,"3,2%"
20150,Donji Žabar,3.809,5,"0,1%",1.029,"27,0%",2.759,"72,4%",16,"0,4%"
11614,Drvar,7.036,11,"0,2%",552,"7,8%",6.420,"91,2%",53,"0,8%"
11444,Foča (FBIH),1.933,1.762,"91,2%",0,"0,0%",145,"7,5%",26,"1,3%"
20613,Foča (RS),18.288,1.270,"6,9%",55,"0,3%",16.739,"91,5%",224,"1,2%"
10324,Fojnica,12.356,7.592,"61,4%",3.664,"29,7%",48,"0,4%",1.052,"8,5%"
20117,Gacko,8.990,369,"4,1%",15,"0,2%",8.556,"95,2%",50,"0,6%"
10359,Glamoč,3.860,1.251,"32,4%",906,"23,5%",1.679,"43,5%",24,"0,6%"
11452,Goražde,20.897,19.692,"94,2%",23,"0,1%",707,"3,4%",475,"2,3%"
10375,Gornji Vakuf-Uskoplje,20.933,12.004,"57,3%",8.660,"41,4%",30,"0,1%",239,"1,1%"
11479,Gračanica,45.220,43.857,"97,0%",72,"0,2%",157,"0,3%",1.134,"2,5%"
