GID_nmbr,iso3,Country,Subnat,slope,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
129,MNE,Montenegro,,0.00979,12176,10870,11513,12263,11704,12401,12198,12579,13236,12025,12419,12505,12692,12956,13505,14049,15233,16248,17391,16348,16764,17288,16803,17382,17675,18264,18798,19682,20687,21534,18259,20711,22109
1022001,BIH,Bosnia and Herzegovina,Brčko,0.01711,1807,2257,2090,2157,2067,2504,4539,5888,6693,7267,8141,8304,8711,9077,10431,10864,10254,11344,11454,11569,11677,12425,12596,13265,14112,15557,13306,13718,13898,15178,14905,16236,17095
1022002,BIH,Bosnia and Herzegovina,Federacija Bosna i Hercegovina,0.01861,1573,1964,1819,1878,1799,2179,3951,5124,5825,6325,7085,7228,7582,7900,8311,8541,9028,9711,10407,10305,10737,11019,11306,11797,12298,13084,13311,13923,14680,15253,14979,16317,17180
1022003,BIH,Bosnia and Herzegovina,Repuplika Srpska,0.02364,1432,1788,1656,1709,1638,1984,3597,4665,5303,5758,6450,6580,6903,7192,7929,8605,9274,9876,10612,10396,10441,10734,10577,10911,10818,11244,12495,13036,13639,14183,13929,15172,15975
1083001,HRV,Croatia,Grad Zagreb,0.01302,25594,26677,27517,25881,27998,29418,31577,33634,34353,34149,35446,37932,40059,42229,43918,45684,47937,50323,51283,47576,47036,46477,45190,44276,44357,46433,48253,50714,52855,55207,50900,60343,64497
1083002,HRV,Croatia,Jadranska Hrvatska,0.01302,13022,13572,14000,13167,14244,14967,16065,17112,17478,17374,18034,19299,20381,21485,22344,23243,24389,25603,26091,24205,23931,23957,23605,23522,23790,24573,25705,27205,28034,28742,24548,29887,31944
1083003,HRV,Croatia,Panonska Hrvatska,0.01302,9250,9641,9945,9353,10118,10632,11412,12155,12415,12342,12810,13709,14477,15262,15872,16510,17325,18187,18534,17194,16999,17249,16772,16757,16423,16583,17137,17447,17813,18497,17475,20494,21905
1083004,HRV,Croatia,Sjeverna Hrvatska,0.01345,9879,10296,10621,9989,10806,11354,12188,12981,13259,13180,13681,14640,15461,16299,16951,17633,18502,19423,19793,18363,18154,18367,18169,18756,18725,19297,20293,21291,22339,23335,22329,26044,27837
1125001,MKD,"Macedonia, the former Yugoslav Republic of",East,0.01419,11565,10594,9710,8819,8469,8113,7921,7776,7740,7772,7812,6900,7005,7265,7627,8049,8539,9431,11402,11178,13247,13765,13109,13214,14024,14280,14476,15356,16036,16920,16164,17392,17836
1125002,MKD,"Macedonia, the former Yugoslav Republic of",Northeast,0.00731,11086,10064,9137,8213,7801,7387,7121,6896,6763,6682,6600,5313,5441,5709,5497,5583,6067,6509,8004,6870,6962,8956,8943,8821,8540,9242,9158,9219,9511,9917,9365,9961,10216
1125003,MKD,"Macedonia, the former Yugoslav Republic of",Pelagonia,0.00792,10581,10140,9727,9249,9305,9345,9571,9862,10313,10888,11519,11592,12617,12922,12264,11752,11579,12277,13709,14400,14443,13767,13281,14168,14467,14685,15365,15288,15579,16044,14962,15717,16119
1125004,MKD,"Macedonia, the former Yugoslav Republic of",Polog,0.01221,4645,4449,4267,4056,4079,4096,4193,4320,4516,4767,5041,4426,4603,5224,5078,5426,5665,5971,6250,6161,6333,6998,6529,6911,6734,6858,7212,7439,7959,8592,8388,9212,9447
1125005,MKD,"Macedonia, the former Yugoslav Republic of",Skopje,0.0089,15859,15042,14285,13453,13406,13339,13537,13827,14334,15006,15745,15742,15756,15807,17342,18484,19384,20736,20632,20459,20168,19607,19940,20320,21041,21780,22394,22346,22696,23294,21649,22662,23241
1125006,MKD,"Macedonia, the former Yugoslav Republic of",Southeast,0.01667,10538,9811,9145,8452,8265,8070,8036,8053,8190,8411,8657,8231,8378,9057,9510,10593,10680,11445,11034,12429,14076,15421,15337,15522,17461,17774,18602,18503,18687,19067,17614,18324,18792
1125007,MKD,"Macedonia, the former Yugoslav Republic of",Southwest,0.01296,7083,6830,6591,6304,6377,6439,6628,6863,7211,7648,8127,7413,7813,6883,7455,7475,7971,8093,9890,9196,9967,10702,10365,10409,10857,11986,12087,12633,13308,14159,13636,14785,15163
1125008,MKD,"Macedonia, the former Yugoslav Republic of",Vardar,0.0131,11112,10341,9636,8902,8703,8494,8456,8470,8611,8840,9095,9857,9862,10665,10586,11021,12832,13005,12859,12726,13240,13528,14349,15655,15754,16411,16448,16313,16857,17604,16649,17737,18190
1174001,SRB,Serbia,Autonomous Province of Vojvodina,0.01347,9070,8408,7898,7831,7974,8207,8708,9339,9663,8763,9307,9943,10564,11027,12025,12700,13372,14260,15097,14711,14844,15236,15176,15734,15640,15531,16165,16512,16881,17422,17360,18985,19937
1174002,SRB,Serbia,City of Belgrade,0.01354,15289,14174,13313,13201,13442,13834,14679,15742,16290,14771,15689,16761,17808,18589,20270,21409,22541,24038,25449,24798,25023,25684,25582,26369,25053,26126,27186,27809,29579,31304,31050,32054,33663
1174003,SRB,Serbia,Region Južne i Istočne Srbije,0.01485,5615,5205,4889,4848,4937,5080,5391,5781,5982,5425,5761,6155,6540,6826,7444,7862,8278,8827,9346,9107,9189,9432,9395,9761,9703,9725,10140,10573,11399,11757,11855,14170,14881
