ID,Municipality,Total Population,Area,Population Density
10014,Banovići,23431,185,126,65
20010,Banja Luka,199191,1238,91,160,78
20028,Berkovići,2272,249,69,9,1
10049,Bihać,61186,900,67,98
20036,Bijeljina,114663,733,85,156,25
20044,Bileća,11536,632,33,18,24
11428,Bosanska Krupa,29659,561,52,87
11436,Bosanski Petrovac,7946,709,11,21
10146,Bosansko Grahovo,3091,780,3,96
20052,Bratunac,21619,293,49,73,66
30163,Brčko,93028,402,231,41
10189,Breza,14564,72,9,199,78
20079,Brod,17943,229,3,78,25
10197,Bugojno,34559,361,95,73
10219,Busovača,18488,158,117,01
11240,Bužim,20298,129,157,35
10227,Cazin,69411,356,194,97
10839,Centar Sarajevo,59238,33,1795,09
20630,Čajniče,5449,274,6,19,84
10243,Čapljina,28122,256,109,85
11231,Čelić,12083,140,86,31
20648,Čelinac,16874,361,81,46,64
10260,Čitluk,18552,181,102,5
20133,Derventa,30177,516,84,58,39
20141,Doboj,77223,772,09,100,02
11258,Doboj-Istok,10866,41,265,02
11266,Doboj-Jug,4409,10,2,432,25
11274,Dobretići,2041,59,34,59
11282,Domaljevac-Šamac,5216,44,4,117,48
10294,Donji Vakuf,14739,320,46,06
20150,Donji Žabar,4043,46,76,86,46
11614,Drvar,7506,589,3,12,74
11444,Foča (FBIH),2213,169,4,13,06
20613,Foča (RS),19811,1134,58,17,46
10324,Fojnica,13047,306,42,64
20117,Gacko,9734,735,88,13,23
10359,Glamoč,4038,1033,6,3,91
11452,Goražde,22080,248,8,88,75
10375,Gornji Vakuf-Uskoplje,22304,402,55,48
11479,Gračanica,48395,216,224,05
11410,Grad Mostar,113169,1175,96,31
10391,Gradačac,41836,218,191,91
20125,Gradiška,56727,761,74,74,47
10405,Grude,17865,220,8,80,91
10847,Hadžići,24979,273,3,91,4
20621,Han Pijesak,3844,322,9,11,9
11550,Ilidža,71892,143,4,501,34
10863,Ilijaš,20504,308,6,66,44
20176,Istočna Ilidža,15233,27,9,545,99
20184,Istočni Drvar,109,75,3,1,45
20192,Istočni Mostar,280,85,24,3,28
20206,Istočni Stari Grad,1175,69,84,16,82
20214,Istočno Novo Sarajevo,11477,34,69,330,84
10421,Jablanica,10580,301,35,15
11487,Jajce,30758,339,90,73
20222,Jezero,1341,55,6,24,12
10448,Kakanj,38937,377,103,28
11495,Kalesija,36748,201,182,83
20249,Kalinovik,2240,681,15,3,29
10472,Kiseljak,21919,165,132,84
10499,Kladanj,13041,331,39,4
11509,Ključ,18714,358,52,27
20257,Kneževo,10428,332,9,31,32
10529,Konjic,26381,1169,22,57
20273,Kostajnica,6308,85,12,74,11
20281,Kotor Varoš,22001,564,26,38,99
20265,Kozarska Dubica,23074,499,01,46,24
10545,Kreševo,5638,149,37,84
20290,Krupa na Uni,1687,84,33,20
11517,Kupres (FBIH),5573,569,8,9,78
20303,Kupres (RS),320,47,8,6,69
20311,Laktaši,36848,388,37,94,88
10588,Livno,37487,994,37,71
20320,Lopare,16568,292,55,56,63
10600,Lukavac,46731,337,138,67
20338,Ljubinje,3756,319,07,11,77
10626,Ljubuški,29521,292,7,100,86
10634,Maglaj,24980,290,86,14
20346,Milići,12272,279,13,43,97
20354,Modriča,27799,319,8,86,93
20362,Mrkonjić Grad,18136,677,43,26,77
10685,Neum,4960,225,22,04
20389,Nevesinje,13758,877,08,15,69
20397,Novi Grad,28799,472,72,60,92
10871,Novi Grad Sarajevo,124471,47,2,2637,1
10774,Novi Travnik,25107,242,103,75
20419,Novo Goražde,3391,119,28,5
11568,Novo Sarajevo,68802,9,9,6949,7
11525,Odžak,21289,158,4,134,4
10715,Olovo,10578,407,8,25,94
11533,Orašje,21584,121,8,177,21
20427,Osmaci,6172,78,1,79,03
20435,Oštra Luka,2997,204,91,14,63
11576,Pale (FBIH),1043,86,4,12,07
20443,Pale (RS),22282,492,8,45,22
20451,Pelagićevo,7332,122,49,59,86
20460,Petrovac,367,154,9,2,37
20478,Petrovo,7010,143,9,48,71
10731,Posušje,20698,461,1,44,89
20486,Prijedor,97588,834,06,117
20494,Prnjavor,38399,629,95,60,96
10766,Prozor,16297,477,34,17
11304,Ravno,3328,286,11,64
20508,Ribnik,6517,511,1,12,75
20516,Rogatica,11603,645,17,99
20524,Rudo,8834,347,63,25,41
11541,Sanski Most,47359,781,60,64
11312,Sapna,12136,118,102,85
20532,Sokolac,12607,693,45,18,18
20559,Srbac,19001,452,51,41,99
20567,Srebrenica,15242,526,83,28,93
10987,Srebrenik,42762,248,172,43
11584,Stari Grad Sarajevo,38911,51,4,757,02
11606,Stolac,14889,331,44,98
20656,Šamac,19041,177,54,107,25
20664,Šekovići,7771,237,2,32,76
20672,Šipovo,10820,553,41,19,55
10570,Široki Brijeg,29809,387,6,76,91
11339,Teočak,7607,29,262,31
20575,Teslić,41904,837,97,50,01
11045,Tešanj,46135,155,9,295,93
10308,Tomislavgrad,33032,967,4,34,15
11061,Travnik,57543,529,108,78
20583,Trebinje,31433,854,5,36,79
11592,Trnovo (FBIH),1830,338,4,5,41
20591,Trnovo (RS),2192,116,2,18,86
11088,Tuzla,120441,294,409,66
20605,Ugljevik,16538,165,17,100,13
11622,Usora,7568,49,8,151,97
11100,Vareš,9556,390,1,24,5
11118,Velika Kladuša,44770,331,135,26
11126,Visoko,41352,230,8,179,17
20087,Višegrad,11774,448,14,26,27
11142,Vitez,27006,159,169,85
20095,Vlasenica,12349,225,32,54,81
10928,Vogošća,27816,71,7,387,95
20109,Vukosavlje,5426,94,9,57,18
11177,Zavidovići,40272,590,3,68,22
11185,Zenica,115134,558,5,206,15
20168,Zvornik,63686,376,14,169,31
11207,Žepče,31582,282,111,99
11215,Živinice,61201,291,210,31

